text	labels
really nice love the graphics	Other
It's a great game overall, but you need to work on the matchmaking for siege. No joke, I saw a full team of guys in wooden armor against a team of champions. It was a guaranteed win, That kind of thing happens a lot. Also, I played this game a long time ago, and I think you should bring back the armored helmets and how your guns changed how they looked when they were upgraded	Balance
It's a perfect game	Other
Full of lag and glitches, people just disappear out of nowhere, getting assists instead of kills a LOT of time, even when I'm sure I kill them. This game was poorly made too (such as double jump only jumping once or jumping not even working, might as well remove any kind of jumping), design and play style. It is also a p2w game, you need to invest to win.	Balance
Soy pro	Other
I cant download it with a 128 gb iphone 8plus	Bug
Lol Its to good for this world	Other
I have one question to ask the developers, and that is when I opened a 5 key chest it stopped on the laser bow but it gave me 5 coins. So can I get an explanation to why I got coins when it stopped on the laser bow.	Bug
Needs the code world for campaign  but other than that everything in this game is AWESOME!!!	Other
Love the game	Other
ALTER ICH HACKE NICHT VERSTEHT ES DOCH!!!! UND GIBT MEIN ACCOUNT WIEDER IHR ***!!!!!	Other
I downloaded it again because I missed this hehe , BEST GAME EVER ! 😍	Other
Hay hon dot kich	Other
It's great and all but the thing is I've been playing pixel gun for forever.and I deleted it, but my account deleted and I have no way of getting my friends levels or guns back.	Bug
Cool	Other
Its a really cool game you can play fine you get a tiny bit of coins but other than that its a good game you should donload it 👍👍👍👍👍👍👍	Other
I think this game is the best	Other
It is the best game ever made	Other
It burns up my phone and my battary dies when I  play this game. I love but like I said it killes my phone. I have a Lg K8	Bug
Its alright but the game keeps crashing and i don't really like that and for fun me and my friend were talking about maybe it could be better if there were prop hunt or hide n seek 😛	Bug
Newf the miegun	Balance
It is the best it is cod and minecraft together so it is truly epic take my word I play both they are awesome this is awesome👌	Other
Sometime my game crash if i using dragon whitsle in arena	Bug
Best game ever when will the nxt game update ???	Other
It is legitness.	Other
I really soft leaves changing your game up so everyone can play please and please give people free all gems 100 gems where are we	Other
LOVE IT	Other
Love it	Other
Wow what a good game If i died he says Uhhhh hahaha what a funny voice	Other
Love it	Other
This game is so awesome and the guns on here i dont even have a word to explain how the guns are.	Other
It was a good game in all but lots of people keep on hacking and it's not fair	Other
Very addictive gameplay. there are LOTS and LOTS of weapons, skins etc.......... I LOVE IT!	Other
Plz remove pets or make it so it is much harded to get other then that great game	Other
I love his game i👨👨👨👨👨👨👨	Other
So cool to play with friends	Other
I love this perfect game it is the best game and try to look for me in pixel gun name is death the kid and look for my clan put it like this 💀death clan💀 or my other 💀D.W.M.A💀	Other
I love it and pls gove me 200 gems pls and 500 coins	Other
I liked it better 4 years ago	Other
Uninstalled cos it keeps on crashing	Bug
Addicting and fun	Other
I think good game but once you get to level 21 it starts to get a lot harder	Balance
This is amazing good graphics and I like everything	Graphics
It a grate game so good 😁	Other
I think weapons should be cheaper but good game	Monetization
It is awesome	Other
Nice eGraphics	Graphics
Your game is great	Other
Great game would rate 5 stars but can't get my old save which I wasted 50 dollars on	Bug
It's perfect for me I'm already a pro	Other
Beast Very active and very fun to spend time on!!!!!   Keep it up 😁😁😎😎😎😎😎✌✌👌👌👍👍👏👏	Other
Ahhhhh The Best!!!!!	Other
It's really cool and fun	Other
The game is awsome	Other
Its better then roblox	Other
This is so cool 😎	Other
Its an awsome game :)	Other
I love everything about this game one thing I kind of don't like is I have like 200 coins and I kind of got broken too and now I only have 22 coins	Bug
It is awesome because you can shoot	Other
Awesome and so cool	Other
Awesome but I just wish the guns were cheaper	Monetization
When i attempt to load in to a game, in the game loading screen it crashes, what is the problem and can it be fixed thanks	Bug
It's a good game but sometimes the controls don't work	Bug
I wake up every morning and i play pixle gun but seriously this game is on fireeeeeeee	Other
Very good and awesome but I try to sync my data using my Gmail account to other devices but nothing happens	Bug
Its the best game youll play and itll kill time to	Other
Really fun and addictive	Other
Call of duty	Other
Col	Other
This game is very good for shorting time and ...    A	Other
Awesome stuff totally should download	Other
Nice game my fav	Other
This game is the best of all	Other
I love this game it's like a Minecraft  MOD	Other
Awsome	Other
Supercool not as cool as Minecraft though	Other
I is a great game u get many types of guns and knives.	Other
It is good but the lucky chust needs to be budr	Other
I think that the game is so Amazing and so so cool.	Other
This game isnt what it once was. It is ironically facing the same problem as minecraft. They are expanding to much and its harming them	Other
It's amazing	Other
This is a great game except one flew too close to the looks to go look around.	Other
I like eveything but one the crashing you need to fix it because I COULD NOT CLAIM MY AWARD AFTER ONE ROUND so fix it :3	Bug
Man it addicting	Other
It is the best	Other
Better than real Minecraft but, you need to give players more currency .	Other
Totes cool game	Other
Good game fast paced shotting game	Other
The 🔫s	Other
It is amazing it's one of the best games I have ever played on my phone and it was a great experience to help me with my bordom	Other
This game is ok but I miss the old one. I still have that one on my phone. Please bring it back or at least turn the servers back on! You don't know how many people liked that game. Please read my comment and respond :)	Other
The game is the best game I ever downloaded in my phone . I named myself vampire all BTW	Other
Prox	Other
Best mincraft shooting game	Other
Very exciting game and cool	Other
I love it         2jjwskwnajai and she said she did not sure why she rhinos and	Other
The best game	Other
It coool	Other
I really like this game and grabs me in to the game.  But I would like if you guys could try and fix the glitch and maybe fix the controls	Bug
You can make any skin by yourself awesome!	Other
I don't like the controls	Other
I love this game😘😘😎	Other
Its  good	Other
QUANT TU RECOMMENCE LE FOUTU JEUX BORDEL ON OBLIGER DE RETOURNER A NOTRE NIVEUAUX SANS ARGENT BORDEL REGLER	Other
I have this game on my tablet and in a pro at it.	Other
I'm So Upset That Lvl 1 People Have So Powerful Guns I Was Like BRUH!!! How?!?! And Then After Watching Vids I Saw The Hack But I Never Ever Gonna Do It!	Other
Se be bueno	Other
This is a fun time killer if you don't mind pay to win, and it would have been a 5 star for me but I just had my account glitch and I lost several hours of progress along with some of the guns I bought and over half of my coins and gems...	Bug
HATED IT! CAN'T EVEN INSTALL IT	Other
:0 The game is good	Other
Its kind of good	Other
This game is good cuz I be shooting at them.	Other
This game is so cool	Other
Ok, I defeated the boss in space level, when he died, there was his blaster shooting at me as soon as I was an inch close to the portal, it hit me. I spent a month trying to kill that boss and I die by that dumb blaster in the air.	Other
I love this game so much more than others. Cool gameplay,graphics. Wow ! I'm impressed with this game.Many mods to play.But always take many gems pls low some prices of something. Then I'm very happy	Monetization
Best game in the world♥	Other
The game has very nice controls but it can be hard to play hardcore	Other
It is the best game ever	Other
The best game ever	Other
I love this game because you can constantly play it for a very long time	Other
It sucks d***	Other
It's really cool	Other
This game is AMAZING I bought two ten dollar gift cards just for this game I have never been so addicted to any game that is like this but I finally got my favorite game.	Other
I love that you can fight against friends.	Other
Yall should really make a pixel gun 3d 2!	Other
I just think you should get more money for winning.	Balance
Cool  Game in the world	Other
Awesome I have always loved this game but I can't install it ;-;	Other
Best game it should be in the history books	Other
It's the most fun game I've ever played	Other
So a some	Other
The game is to ugly why can't I get weapons when I have the laser minigun is Grand me	Other
Great game should download	Other
I changed my mind it is the worst game i every played	Other
There are probably 1,000,000 people playing this game	Other
Every 3 days my trophy is going to 3000 but my trophy is 5991	Bug
Awsome	Other
The graphics and guns are really good,awesome game	Graphics
Love III III it tttt!!!	Other
Hey guys I love the game but there is a couple of bugs in like the the roof in pool party is glitchy and sends you flying plz fix but otherwise great game	Bug
Its cool and addictive	Other
I'm trying not to die	Other
Great	Other
U guys need to fix duel a guy just jumped on the trampoline so i couldnt hit him then he just locked on to me with his missels and shot and i lost alot of trophies 😡😡😡😡😡😡😡😡😡😡😡😡	Balance
It super fun	Other
Love, it its good and i like how its got imagination things now been playing it for like 4 years	Other
Cool	Other
These are so many guns to choose. and these are so many maps.👍	Other
Nice game	Other
Best game in me life bat in campaign am like to have more levels :D	Other
This game is sooooooo funnnn!!!!!!!	Other
YOU GIVE ME PEOPLE WITH HIGHER TROPHIES  AND IT'S ANOYING AND I HATE YOU FOR THAT. AND YOU HAVE ADS	Balance
ITS AWESOME and i love the weapons!!!!!!!	Other
This game is the best game I have ever played	Other
I think u can take down the slenderman tp  its allmost hard to kill him	Other
Cool game	Other
it's hard to get trophies but that's I like	Other
I am upset because I was not able to recover my account and I have played this game for years and I am still waiting for the new world in campaign	Bug
Takes to much space in my phone	Bug
Hi im Jacob. I found a bug when i press friends button all my friends as a knight skin and it disturbs me so please fix this bug. I still rate 5 so you could fix it fast :)	Bug
Cool	Other
It's such a amazing game and amazing guns too.	Other
I love this game	Other
Its like call of duty but Minecraft version	Other
ITS AWESOME!!!	Other
Everything on my account gone?Well not EVERYTHING, but all my gems(about 30) and all my coins,(About 200) AND MY TROPHIES!I was in adamint league! My guns and gear are still here, but trophies, money and gems gone, please fix!!I worked hard on this game!!!	Bug
Hello!! 10/10 recommended!! I love this game!! But I just hate it when my game crashes and I'm first, and always when I'm first, the game crashes.. What a coincidence.. Please fix it.	Bug
It suks its too expensive	Monetization
Clearly a pay to win game.Without gems, you are doomed.I would recommend a different game called 'Critical Ops'.	Monetization
I love this game	Other
So i really like this game but i was wodering if pixel gun can give us a few gems when we win a match and if in our lobby we can go inside our little base and we can buy more decortive things in it . Plz reply to this rillisoft thanks and love this game 😃😃	Monetization
It is the best game of life	Other
there should be a buff to the secret forces rifile and the hellraiser they are such good weaponsbut they need buff to competewith the other guns. the hellraiser should do at least 25 damage and the secret forces rifile 28 or 29. if you read pixel gun thx fo listening	Balance
Cool	Other
me gusta mucho	Other
I love the game sooo much i love it thx for making it	Other
ck ass	Other
Its pretty cool and exciting	Other
I like this game but I made 15 kills and I accidentally pressed home and lost all of the kills plz remove this, for that I pute stars	Other
Awsome just awsome	Other
Greatest shooter on mobile!	Other
Love it	Other
Game is great. Really enjoy it. I especially liked the version a year ago. It's okay now but it's a bit cash-grab. The fact that the free gems thing is in front of the eggs is slightly annoying. I have a slight problem, where I'm trying to go to battle but can't because a pop up saying 'update your game' comes, yet my game is fully up to date...? My only issues. Other than that, great game.	Monetization
Its so addictive i wish there was a update that the guns you dont like and theres like a button that says give gun back and get your coins back it will be so cool and a update that you can trade your gun pls	Other
It has toooooo much storage I can't install if you lower the storage it will be great and you will have 1 more person to install your game 4.0 is fine (,•-•,)	Bug
It's good	Other
Love it SOOOO MUCHHHHH	Other
I love it so much it's so fun	Other
Really fun game	Other
0 DEVELOPPER SUPPORT. Thousands of clan are bugged, stuck at 18 or 19/20 members whenthe server in lookup says 20!! So basically alot of clan are missing 1-2 members. I sent 6 message to PG3D dev, Cubic Games, 2 different other email ( pg3d website and in game support email ) and have gotten 0 answer. How can you wait so long to fix a bug so HUGE thats been out for long. Im a top clan leader and im spreading the words to the other clan that are bugged too and via youtube if i need to.  FIX THIS ASAP, ITS RIDICULOUS.	Bug
Loved it	Other
The best	Other
I want to make the wepons weaker becuse I am in the admant leaugue and keep looseing trophys and went to the ruby leaugue	Balance
Love the game best game in the world	Other
Its the best they should add more stuff more zombie levels	Other
When you leave the arena you should not lose trophys because trophies are really hard to get and when you leave it's like when you join you have to stay there all the time or you lose 20 trophys	Other
Perfect 👌👌	Other
Plzzzz have update of signing in to Los profile  plz my phone crash and i lost my profile  guns and cool pets	Bug
THIS IS SO AWESOME BRAH U NEED TO UPDATE THIS GAME IT IS SUPER AWESOOOOOOOOOOOOOOOOOOME	Other
Mincraft: hi i have blockes and mobs. Pixelgun3d:BUT CAN U DO THIS!?!??!?!?!	Other
It is asum	Other
The Flash	Other
It's good	Other
One of the best games ever	Other
It's cool and I'm so excited to play it so many things to do with your friends and I'm loving it so much and it's fun to	Other
Good guns and awsome	Other
I think this is one of the best games you will ever play	Other
Badaşş game I recommend it wish they would add the spells to sandbox though	Other
Love it lol	Other
Well id played for over 3 years and now pixel gun won't even open anymore	Bug
I THINK IT WAS AMAZING	Other
Best game pls make a new update.	Other
Right now it's the best game I played	Other
boss it is a gr8 time killer	Other
It is fun but it is very difficult to gems if you make it a little easier I would rate it higer in my list still it is a fun game	Monetization
It is Very Good	Other
THE GAME IS TOO BIG!!!!!!!😬                .	Other
It was laging	Bug
An idiotest  game ever,I cannot even win block crash.Disgusting game ever XD	Other
It is good	Other
For those of you that want to be really good at the game save your gems and buy the exterminator	Balance
This game is a really good game but it needs more updates	Other
I like the game but it just take long to get money	Other
It's a fun addicting game	Other
Nothin bad just add cars and vehicals and thats all	Other
Love this app	Other
Fix the currency for some games like dual I don't get money when I play	Other
One of the best games I have ever played on my phone	Other
It is a good game time killer	Other
NEW UPDATE????  WHERE IS IT?????	Other
Very difficult to get money and gems but overall the game is awesome	Monetization
The only bad thing is that it has minecraft I hate minecraft :/	Other
It amazing awesome and u could make friends all over the country battle each other and have fun too.	Other
This game is the best mix of minecraft and fps games	Other
This game is a waste of time	Other
Get graphics and hard challenges	Graphics
I think you should make a star wars of it	Other
SI SE LES SALE EL JUEGO ES CULPA DE SU PINCHE TELEFONO QUE NO R ES COMPATIBLE CON EL JUEGO IDIOTAS Y LA NUEVA ACTUALIZACIÓN ES LA MEJOR MI TELEFONO ES UN SAMSUNG 8	Other
Iris lit 🔥🔥	Other
Me gustaeia que see judge online per sin internet. Estaria genialbgugarlo sin internet tendria mas apoyo	Other
Pls make another update	Other
This game is really good but they offered me the undertaker and so I had it rented for one match. I played one match and I didn't even EQUIP IT. Then it gave me the discount thing for 60 minutes and I got really mad.	Monetization
Cool Yep never played it	Other
I like it alot that i told my holle freinds about it	Other
Yay! PG3D Is perfect again! We have maps back AND my account back! (Can u Nerf the pet dragon pLz rillsoft XD)	Balance
Its good	Other
It is a really fun game to play when u r bored anf want something to do	Other
Guys the freaking chest does not give any guns thats annoying realy and i would recommend using the crossbow or the bow they do a lot damage (im very good with the crossbow in nearly every battle i come first)	Balance
I like the game a lot it is just that the only thing I get out of lucky chest are  coin, gems, or a new skin	Other
You really need to improve on the game,its really hard to get gems and gold plus there are so many expensive weapons and that its only good for people who pay to win,for others(most of the),its really hard	Monetization
The people who made this game are stuped scammers cuz I bought coins and gems twice and didn't get it. What ever you do do not buy anything in this game	Monetization
One great game	Other
Its a good game but plz make a pc style	Other
Pay to WIN	Monetization
Great game	Other
I LOVE IF IT'S SO AMAZING  😆😆😆😆😆😆😙😑😙😙😙😙💖💚🖤💚💙💜💚💙💛💘💔👍👍👍👍👍👍👍👍👍👋👋IS	Other
at the starting of the you should give more mone	Other
Top	Other
Great game	Other
the best game ever even though it takes a lot of storage	Bug
It is amassing	Other
Cool	Other
I want free coins	Other
PEOPLE ARE HACKING AND MAKING IT SO I CANT HURT THEM I WANT THEM BANDED SO MAKE IT SO NOBODY CAN HACK!	Other
This game is very Good but needs add more campaign	Other
It's so fun I can play it all day	Other
Top	Other
The most fun game ever!	Other
The game is a piece of eye cancer	Other
I love playing this game great work and keep it up😀	Other
I love this game but people keep on asking to be boyfriend and girlfriend and it's werid	Other
CE JEU EST KIFFANT !	Other
Is it making the game easy or am I just too good with the controls	Other
Its ok but i doesnt work for me it lagzzzzzzz	Other
Far too easy however it is very fun	Other
Koooocham to!!!	Other
A lovely game! I always cant wait for the new updates! Love it! Keep it up! 👍❤😊	Other
cool	Other
the game crashed often? Resolved please	Bug
C'EST SUPER !	Other
It's an okay game now I guess	Other
I like the game	Other
Trop cool	Other
I love this game  ,	Other
It's good but can be better	Other
Cool	Other
Sehr cool L	Other
It's a very fun mix between call of duty, Minecraft and even a bit of clash of clans. Graphics amazing gameplay do fun you have two  get this game	Graphics
Really good	Other
Sin opinion hermoso	Other
Its so giid its one of the highly rated oixel game its better than the knockoff verisons fibd my oerson gqberialkingkilzs	Other
IMÁDOM EZT A JÁTÈKOT!!!!!	Other
I LOVE IT I PLAY THIS GAME FOR FIRST TIME	Other
The best game ever but thetly should and more maps and make guns cheaper or even get gems at the end of every level	Monetization
Isabelly Gomes Barbosa  MAURÍCIO BARBOSA DA Silva	Other
It's awesome. Like robolox but with guns. Can't stop playing	Other
Pixel Gun 3D I want my account back!!!	Other
I think I think that this game is epic but it's a shame that you need WiFi	Bug
its great	Other
Awesome but they sould add private rooms	Other
Its a good game	Other
It has good graphics   And fun for kids the next update should have new York city  for sandbox	Graphics
Epic game, cool pets, game modes, maps and weapons. There is also a wide variety of skins. There is also a tutorial at the beginning of the game. On the bad side it is hard to get lots of money and gems but overall I recommend installing this game .	Monetization
I think it is amazing and has great graphics	Graphics
I love this game adding a prop hunt mode would make it even more amazing	Other
BETTER THAN MINECRAFT IT IS SO GOOD especially with a zombie mode	Other
Very fun and worthwhile! Great time killer!	Other
I love this game!!!😁😂😃😀😄😅😆😉😊😋😎😍😘😗😙😚☺🙂🤗😌	Other
It's a very good game like block city wars	Other
I love it so much I know it is nice	Other
Noice game 👌	Other
Des ist supa	Other
Its awesome!!!!!!!!!!	Other
Pay to win	Monetization
Hackers Everywhere.Keep Glitching out in Coop Survival.Free currencies are a joke sometimes you need to watch around 3 times for a gem	Bug
Wtf esta chulo	Other
Awesome definitely best mobile fps  out there	Other
Bad Ass	Other
I love it and good	Other
I have been playing pixel gun since like i was 8 now im 13 and its been the best game i ever played!!	Other
Update become to much depend on the purchase, so wI'll have many people find different way to hack the game.	Monetization
ME GUSTA PERO PERDÍ MIS MONEDAS Y GEMAS AL BORRAR LA APP ME GUSTARÍA NO SÓLO A MI QUE LES DEVUELVA LAS MONEDAS Y GEMAS AL INSTALARLA NUEVA MENTE	Other
Well I'm beginning to hate this game because every time I update it it doesn't give me back my coins and gems put it so you don't have to pay to win plzz	Bug
This game is good try it	Other
Hi I think the game is so great I'm a videos about it and I got 30000000000 subs on YouTube thanks	Other
Hay muchos hackers	Other
It great	Other
Nothing more just a f****** pay2win	Monetization
There is a glitch in duel where my enemy will spawn behind me, but their pet will be in front of me. And when someone kills me the kill goes to someone else.	Balance
Cool	Other
this game is so fun!!!!!!! and very Easy to play also its the best first person scooter game.	Other
Love it	Other
Toy	Other
Can you make a map where is only Back up weapons. And really good game😊	Other
Lost my progress while reinstalling Won't let me get it back even by synchronization	Bug
The game is very very cool	Other
Hard to install	Other
I love this game!	Other
Game is too glitchy	Bug
I love this game	Other
The update never worked. Please fix the bug, and go deeper into the app. Thank you!	Bug
Its fun	Other
I love all rhe things in this game	Other
I love to battle I'm a pro at that I give it five stars	Other
Anazing if you are hesitating to get this don't and just get it	Other
The game is great I love 8t	Other
Very cool	Other
It's  a good game but it closes down on me lots during gameplay	Bug
INCRÍVEL RECOMENDO!!!!	Other
Its so good the gameplay. And I wish their is a build your base challenge and four teams  will be fighting and destroying each bases	Other
AWESOME game but i think If there can be my favourite dog black Labrador finder if You can make that happen i would be happy :)	Other
Its the best game	Other
Don't get this. It's a sh*tty pay-to-win Minecraft ripoff that requires money for everything. Expecting a lot of currency when you level up? Too bad! Trying to save up for something expensive? TOO BAD! The game even automatically forces you to buy something for sitting in the killcam for more than five seconds! This is just a waste of time. The game was a great time killer THREE-FOUR YEARS AGO. Now it's just a pay-to-win Minecraft ripoff with absolute trashy people that are extremely salty. Please don't play this.	Monetization
Awsome game 😎😎😎	Other
Its a great game add	Other
I think this game is a funny game and cool to play iwatch friend so I give it 4 star.	Other
Cooles spiel	Other
This game is awesome, but I don't play it anymore cause I dont like having to get the stuff back again	Bug
It was the best game in the world	Other
Best games in the world	Other
Its cool	Other
Rilisoft please remove the storm hammer it is really annoying to play against and even when u do have a storm hammer its boring to use after a while. Please remove it!	Balance
I know the way brother	Other
Add Mode called Battleground the game is need to wait for 20 sec and ride the plane and theres paresuit button and go down its need to kill player like deathmatch all guns and pistols in box the break is use knife. The misson is to Be number #1 plzzzz add if u can	Other
One of the best games i have ever played.  There is nothing beter than this. You will not regret for downloading this awesome game	Other
Worst multiplayer game ever...controls suck..game balancing is terrible...and its almost impossible to get any currency...PAY TO PLAY GAME...DONT WASTE YOUR TIME...Might as well download one of the many other terrible games on Google playstore	Monetization
Love it buy it for free	Other
Hdkdh  God bless you with the entire	Other
This is the best game ever made from someone	Other
I love it but it it uses a lot of GB	Other
I like this game its a very very cool game 👍👍👍👍👍👍👍👍👍	Other
I love this game	Other
pixel gin e show	Other
Ich find das game super	Other
a good game theres yet bugs and glitches but after allniy became good stuffg are easy to get not like 3 years ago andits really good	Bug
I love this game i started playing this game sence the first version came and now no one cant beat me cuz am so good.	Other
Awesome game hats off... But you should add a feature of being able to see other peoples lobby. Other than that very good game. Addictive and good graphics	Graphics
This is best game Ever	Other
This game is for kids and other people to  fight and other things	Other
Its a solIt's a solid game I like it.	Other
So good game.I like it so much	Other
You should make a new game	Other
The best game ever!!!	Other
I hate it 😠😠⚠🚫👎👎👎👎👎👎👎👎	Other
Can you add new guns and these guns are super cool	Other
I love this game somuch 😊😊😊	Other
Similar to minecraft with guns	Other
Better than block city wars	Other
It's nice but they like GF and it makes me sick	Other
Das Spiel ist voll coool	Other
Its full of action and weapons I like it	Other
the flag capture is boring than block wars ✊	Other
I like every thing but can u can all event come back twise	Other
Ppl I need Frnds Im From Britain And Currently in Dubai My Name Is Lars Alexandersson Plz Send me Som Friend Reqs If u have Read This And Ima Real Good Player.	Other
This game is super amazing I love all of it I'm like a pro in this game I'm a marksman this had good graphics and good weapons and many things and I'll give it 5 stars and please do the update and can i please get gems and coins and one more thing why is my game is being weird it's like updating but i check pixel gun 3d it's not saying update	Bug
NU SE POATE ASA CEVA SA ITI IASA DIN JOC DIN 5 IN 5 MINUTE .INAINTE ERA UN JOC MULT MAI BUN ACUM L-ATI  STRICAT .ESTE PLIN DE HACK-ERI CARE AU ARME MULT MAI PUTERNICE .VA ROG SA REPARATI ACEST b BUG CACI ASTFEL VETI PIERDE MULTI JUCATORI	Other
His game is so awesome everyone BUY THIS GAME NOW OR YOU WILL REGRET IT I TELLING YOU	Other
The game is great but I had a problem where I accidentally deleted the game and when I redownloaded it i pressed the syan data but I didnt get my stuff back, only the armor and my created skins came back.Please fix it because I spent alot of time on this game and tried hecka hard to get all those weapons and other stuff.	Bug
It's so cool	Other
I have a samsung galaxy s7 and it s stip working from 5 to 5 minutes	Other
Its very fun! Nice job :)	Other
The game is PERFECT but the buttons are cluncky	Other
I played this game before and i played a mod but it was super bad because i never got online but if i download the original i have internet	Other
The game was wonderful but its so hard to get gems i wish there is a button to convert coins to gems most weapon xpensive	Monetization
Cool	Other
Very additive and very fun	Other
It is a good game	Other
This is one of the best games i have ever played but i suggest you guys add a save data thing because i connected my old account to my facebook and my phone broke so i got a new one and i am not able to get my account back	Bug
Its good but the oders and hackers like for real	Other
Hey can you please make pixel guns 3d a gamepad compatibleI reallyy want to play with my moga gamepad please I'm begging for this to happen in the next update	Other
I love it but i hate it. Why you may ask? Beacause they let me stop using my acc. Named AssassinHD and hes level is 12 i worked hard for it!	Bug
Go subscribe to puffin the wolf	Other
Busy with you if I'll have money	Monetization
I love these game so much	Other
This game is perfect to pass time on it makes me happy playing it graphics are great controls are nice this game is perfect just that takes to much space	Graphics
Can we build our guns?Can we buy keys and medails with coins or gems?Please	Other
Es. Ist schon cool	Other
It's was better in 2012	Other
The game stops in my mobile my mobile is oppo a37f please xheck It and it ia a brilliant game but it needs a map	Bug
I LOVE IT!!!!! The only thing that I hate and the only thing that makes me rage quit is the trophies  The make me rage quit IT TAKES AWAY WAY TOO MUCH OF MY TROPHIES!!! and I used to play this then I deleted it sorry but I redownloaded it and it saved everyone I had except my trophies and I get angry easily I had so much trophies right now I'm on the steel league :(	Bug
Cool	Other
What a bloody ass kicking game I loved minecraft but this is like the same but way bloody better thx pixel gun.	Other
COOL	Other
I think it is the best game in the world I have it on my phone I csn not stop playing  it and my name is &@MonkeyFace69@&	Other
I love your  game	Other
I like the game but the new update is freezing my phone.	Bug
I love this game	Other
Ich finde es cool	Other
Cool	Other
Am trying to install the game but it does not let and I have 1.5 GB in my storage	Bug
It a good game	Other
This is a full lay to win game first after deleting this game I reinstalled I  lost my building guns etc and lvl league the support to goggle play games is really poor do something and I am lvl 22 do something for  saving the account	Bug
The game is amazing download it now!😎🙏😏	Other
It's nice	Other
I think Mc should be like this for real I love it	Other
Legitimate Must-Have Game	Other
It's beautiful game	Other
I love this game you can invite people and send friend reqests to your family friends or brother,sister,cuzins	Other
Really good game	Other
To many  space but still good	Bug
I love this game sooo much I congrats the person who thought of it	Other
#2 best game on play store besides roblox	Other
I like ythe   game but controls	Other
Can you give us graphics options to reduce lag.	Bug
This a cool game people that does not have it get it	Other
It's good. But I feel like everything's too expensive. If not, it's quite hard getting coins.	Monetization
Good game but can improve the capacity of the impulse rifle its weak with short capacity because it shoots very fast its hard to get a kill. Thank you	Balance
On the next update you should put split screen and a costom gun maker	Other
Awesome simple	Other
This game is great	Other
It's pretty awesome gameplay you should add more adventure modes and co-op adventure mode and add more maps on co-op mode and plz remove the new gun thing in co-op.	Other
Perfect	Other
Good by good i mean the BEST	Other
Get it  help them improve Alan	Other
很好(best game ,but that coins so no esay get )如果可以换的话还美一点,和金钱可以赚快一点,谢谢	Other
